# Woo (WOrdlist generator Object-oriented verb section) data file
#
# Copyright (C) 2000-2002 Nadav Har'El, Dan Kenigsberg
#
# options for each word:
חשד פ,הפ
חשד פ,קל_אפעול,נפ,אין_שם_פעולה
חשף פ,קל_אפעול,נפ
חשש פ,קל_אפעול,אין_שם_פעולה,שמור_עע
חתך פ,נפ,אין_שם_פעולה
חתך פ,קל_אפעול,שם_פעולה=חיתוך
חתם פ,נפ,אין_שם_פעולה
חתם פ,קל_אפעול,הפ,הו #פי בבנקאות
חתן פ,פי,פו,הת
טאטא פ,פי,פו,שם_פעולה=טאטוא
טבח פ,קל_אפעל,נפ,אין_שם_פעולה
טבל פ,נפ,אין_שם_פעולה
טבל פ,קל_אפעול
טבע פ,קל_אפעל,הפ,הו
טוה פ,קל_אפעול,שמור_עו,שם_פעולה=טווייה
טוה פ,שמור_עו,נפ
טוס פ,קל_אפעול,הפ,הו
טיל פ,הפ,הו
טיל פ,פי,פו,שמור_עו
טלפן פ,פי
טמן פ,נפ,אין_שם_פעולה
טמן פ,קל_אפעול,הפ,הו
טמע פ,הפ,הו,נפ,קל_אפעל,אין_פעול
טנגרל פ,פי
טעה פ,קל_אפעל,הפ,הו,אין_פעול
טען פ,נפ,אין_שם_פעולה
טען פ,קל_אפעל,הפ,הו
טפח פ,קל_אפעל,אין_פעול,פי,פו
טפטף פ,פי
טפל פ,פי,פו
טפל פ,קל_אפעול,אין_שם_פעולה,אין_פעול
טפס פ,פי
טרד פ,הפ,הו
טרד פ,קל_אפעול,אין_שם_פעולה,נפ
טרנספר פ,פי,שם_פעולה=טנגרול
טרף פ,נפ,אין_שם_פעולה,הפ # ואולי אפילו הוטרפתי בסלנג
טרף פ,קל_אפעול
טרק פ,נפ,אין_שם_פעולה
טרק פ,קל_אפעול
יאש פ,נפ,פי,הת
יבא פ,פי,פו,שם_פעולה=ייבוא
יבל פ,הפ,הו
יבש פ,פי,פו,הת
יבש פ,קל_אפעל,אין_פעול,אין_שם_פעולה,בינוני_שמן
יגע פ,הפ
יגע פ,פי,הת,אין_שם_פעולה
יגע פ,קל_אפעל,בינוני_שמן,שמור_פי,אין_פעול
ידד פ,הת,שמור_עע
ידה פ,הפ,פי # אבל גם שם_פעולה=הודאה
ידע פ,נפ,פי+,פו,הפ+ ###יכול פ,קל_אפעל,נסתר # זוועה חייה
ידע פ,קל_אפעל+,מקור=לדעת,מקור_מלעילי,עתיד1=לדע
יזם פ,קל_אפעול
יחד פ,פי,פו,הת
יחל פ,פי,פו
יחס פ,פי,פו,הת,שמור_פי
יטב פ,הו
יטב פ,הפ,שמור_פי,שם_פעולה=הטבה
יכח פ,הפ,הו
יכח פ,נפ,הפ
ילד פ,נפ,פי,פו,הת,הפ
ילד פ,קל_אפעל,מקור=ללדת,מקור_מלעילי,עתיד1=ללד
ינק פ,הו
ינק פ,הפ,שמור_פי,שם_פעולה=הנקה
ינק פ,קל_אפעל,שמור_פי,ציווי=ינק,אין_פעול
יסד פ,נפ,פי,פו
יסף פ,נפ,פי,פו,הת,הו,הפ
וסף פ,הת ## בעצם צריך להיות תחת יסף, אבל למי אכפת?
יעד פ,פי,פו,הת,הו,הפ,נפ
יעל פ,הפ,אין_שם_פעולה
יעל פ,פי,הת,פו
יעץ פ,פי,הת,נפ
יעץ פ,קל_אפעול,מקור=לעוצ,אין_פעול #,נפ,פי,הת
יפה פ,פי,פו,הת
יפה פ,קל_אפעל,בינוני_שמן,אין_פעול,אין_שם_פעולה
יפע פ,הפ
יצא פ,פו,הפ,הו,שמור_פנ
יצא פ,פי,שם_פעולה=ייצוא
יצא פ,קל_אפעל,מקור=לצאת,מקור_מלעילי,ציווי=צא,עתיד1=לצא,אין_פעול
יצב פ,הפ,הו,הת,פי,פו
יצג פ,הפ,הו,פי,פו
יצע פ,הפ,הו
יצק פ,הפ
יצק פ,קל_אפעול,מקור=לצקת,ציווי=צוק,עתיד1=לנצוק
יצק פ,קל_אפעול,מקור_רגיל
יצר פ,קל_אפעול,נפ,פי,פו,שמור_פנ
